txid,timestamp,src_ip,dst_ip,src_port,dst_port,fee,script_type,geo_country,geo_asn,input_addresses,output_addresses,input_amounts,output_amounts
tx_benign_transfer_0041_6221,1788583627,104.28.239.26,104.28.16.5,57498,8333,8e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_29602406,merchant_wallet_28468304,2.48637,2.48631
tx_gather_1_791998,1788519954,194.26.126.222,104.28.16.5,44869,8333,0.0001,p2wpkh,SC,AS51852 - Private Layer,layer_13874790,gather_deposit_40158811,0.20632,0.20013
tx_benign_transfer_0599_2196,1788757019,194.26.25.143,104.28.16.5,31925,8333,3e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_73207479,merchant_wallet_57553566,1.77405,1.77397
tx_benign_transfer_0413_5485,1788696596,198.51.100.39,104.28.16.5,55529,8333,4e-05,p2wpkh,RU,AS12389 - Rostelecom,benign_user_34796255,merchant_wallet_13516265,1.04096,1.0409
tx_benign_transfer_0825_2429,1788829741,192.0.2.228,104.28.16.5,33485,8333,4e-05,p2sh,NL,AS49981 - WorldStream,benign_user_90776943,merchant_wallet_26153687,1.62912,1.62908
tx_benign_transfer_0241_5631,1788645735,104.28.77.176,104.28.16.5,33542,8333,6e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_47108953,merchant_wallet_95979171,1.28367,1.28359
tx_benign_transfer_0050_8756,1788586197,203.0.113.65,104.28.16.5,31199,8333,8e-05,p2wpkh,IR,AS58224 - TIC,benign_user_48401154,merchant_wallet_57912262,1.29331,1.29321
tx_benign_transfer_0763_6918,1788808615,192.0.2.171,104.28.16.5,43057,8333,6e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_57785434,merchant_wallet_54326109,2.22648,2.22638
tx_benign_transfer_0665_7669,1788778958,192.0.2.17,104.28.16.5,45865,8333,3e-05,p2sh,NL,AS49981 - WorldStream,benign_user_41372112,merchant_wallet_12499514,0.29655,0.29652
tx_benign_transfer_0559_7557,1788743636,104.28.92.122,104.28.16.5,51845,8333,7e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_75032899,merchant_wallet_78640894,1.06751,1.06745
tx_benign_transfer_0550_2581,1788741122,203.0.113.201,104.28.16.5,34056,8333,9e-05,p2wpkh,IR,AS58224 - TIC,benign_user_88866745,merchant_wallet_36846824,0.11777,0.11772
tx_benign_transfer_0872_7008,1788843040,192.0.2.132,104.28.16.5,57683,8333,7e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_60154896,merchant_wallet_21205911,1.55301,1.55293
tx_gather_3_409445,1788555412,203.0.113.84,104.28.16.5,53615,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_69287967,gather_deposit_71315464,0.08575,0.08318
tx_benign_transfer_0874_2195,1788843511,198.51.100.58,104.28.16.5,42721,8333,9e-05,p2sh,RU,AS12389 - Rostelecom,benign_user_22549776,merchant_wallet_56833660,0.73374,0.7337
tx_benign_transfer_0160_3719,1788621843,194.26.158.36,104.28.16.5,55717,8333,4e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_17966873,merchant_wallet_86514083,2.15401,2.15394
tx_benign_transfer_0315_3848,1788669457,198.51.100.97,104.28.16.5,51419,8333,6e-05,p2sh,RU,AS12389 - Rostelecom,benign_user_97689346,merchant_wallet_20447168,2.08883,2.08878
tx_benign_transfer_0158_9951,1788621296,192.0.2.56,104.28.16.5,43931,8333,4e-05,p2sh,NL,AS49981 - WorldStream,benign_user_43223132,merchant_wallet_49957816,1.8944,1.89432
tx_benign_transfer_0147_6706,1788616888,104.28.122.25,104.28.16.5,44357,8333,8e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_52803305,merchant_wallet_19015987,1.14378,1.14374
tx_benign_transfer_0405_5792,1788694158,198.51.100.223,104.28.16.5,58947,8333,8e-05,p2wpkh,RU,AS12389 - Rostelecom,benign_user_61096850,merchant_wallet_78255127,1.65365,1.65356
tx_benign_transfer_0401_4982,1788693781,194.26.243.159,104.28.16.5,34839,8333,9e-05,p2pkh,SC,AS51852 - Private Layer,benign_user_11843251,merchant_wallet_56073103,2.13338,2.13334
tx_benign_transfer_0634_8489,1788767557,192.0.2.247,104.28.16.5,57577,8333,8e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_91949659,merchant_wallet_91826622,0.26931,0.26928
tx_benign_transfer_0057_6150,1788588218,194.26.167.72,104.28.16.5,38179,8333,0.0001,p2wpkh,SC,AS51852 - Private Layer,benign_user_34970946,merchant_wallet_76980546,1.43907,1.439
tx_benign_transfer_0262_5760,1788652438,192.0.2.93,104.28.16.5,56266,8333,8e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_25555976,merchant_wallet_22750478,0.25852,0.25848
tx_benign_transfer_0143_2791,1788615054,194.26.197.64,104.28.16.5,51548,8333,8e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_96838849,merchant_wallet_92232236,2.03262,2.03255
tx_benign_transfer_0459_5989,1788713523,104.28.236.242,104.28.16.5,44245,8333,8e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_21983952,merchant_wallet_88212291,1.70698,1.70693
tx_benign_transfer_0546_2867,1788740187,192.0.2.107,104.28.16.5,45089,8333,9e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_27613681,merchant_wallet_12332623,2.08023,2.08016
tx_benign_transfer_0017_4531,1788576855,194.26.194.132,104.28.16.5,33729,8333,5e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_48016697,merchant_wallet_89609131,1.2193,1.21924
tx_benign_transfer_0889_2633,1788848475,104.28.163.114,104.28.16.5,46494,8333,7e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_99618537,merchant_wallet_48910317,1.87736,1.87729
tx_benign_transfer_0428_5556,1788701907,104.28.159.161,104.28.16.5,48269,8333,9e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_16565770,merchant_wallet_34808803,1.50425,1.5042
tx_coinjoin_mixer_9_8149,1788450406,203.0.113.156,104.28.16.5,56758,8333,0.0008,p2sh,IR,AS58224 - TIC,mix_in_25521714;mix_in_61700055;mix_in_87388337;mix_in_35511941;mix_in_44188276;mix_in_15957459;mix_in_68526649;mix_in_10226999,clean_out_54318698;clean_out_93638503;clean_out_52133044;clean_out_99038359;clean_out_26726926;clean_out_50308572;clean_out_78064830;clean_out_51511484,0.5018;0.50252;0.50222;0.50285;0.50234;0.50099;0.50158;0.50287,0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
tx_benign_transfer_0243_5843,1788646569,194.26.67.233,104.28.16.5,43715,8333,6e-05,p2sh,SC,AS51852 - Private Layer,benign_user_14740436,merchant_wallet_88252116,1.70508,1.705
tx_benign_transfer_0168_2529,1788624844,198.51.100.168,104.28.16.5,41810,8333,5e-05,p2pkh,RU,AS12389 - Rostelecom,benign_user_99188862,merchant_wallet_97095388,0.76165,0.76156
tx_gather_2_274446,1788534585,203.0.113.178,104.28.16.5,49812,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_23470708,gather_deposit_45570755,0.24807,0.24063
tx_benign_transfer_0762_5355,1788808360,104.28.239.125,104.28.16.5,45506,8333,8e-05,p2sh,US,AS13335 - Cloudflare,benign_user_67640289,merchant_wallet_55171003,1.31061,1.31058
tx_benign_transfer_0817_8039,1788827713,192.0.2.250,104.28.16.5,49565,8333,8e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_74450415,merchant_wallet_48851553,1.92079,1.92074
tx_geo_anomaly_8_4697,1788486873,203.0.113.199,104.28.16.5,57123,8333,0.0002,p2wpkh,IR,AS58224 - TIC,previously_benign_wallet_61053474,recipient_69421007,1.01093,0.72524
tx_gather_3_362801,1788551884,203.0.113.174,104.28.16.5,44481,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_48605268,gather_deposit_71315464,0.08575,0.08318
tx_benign_transfer_0473_3962,1788716951,198.51.100.205,104.28.16.5,47281,8333,9e-05,p2pkh,RU,AS12389 - Rostelecom,benign_user_21328172,merchant_wallet_29470999,0.66052,0.66044
tx_benign_transfer_0785_8292,1788815809,194.26.95.3,104.28.16.5,33932,8333,4e-05,p2wpkh,SC,AS51852 - Private Layer,benign_user_75661787,merchant_wallet_96088502,2.16359,2.16351
tx_benign_transfer_0519_4693,1788730675,192.0.2.83,104.28.16.5,41557,8333,9e-05,p2sh,NL,AS49981 - WorldStream,benign_user_66764586,merchant_wallet_47197817,1.62611,1.62603
tx_benign_transfer_0746_7524,1788803821,198.51.100.97,104.28.16.5,35497,8333,6e-05,p2pkh,RU,AS12389 - Rostelecom,benign_user_77819218,merchant_wallet_91791507,1.20812,1.20802
tx_gather_3_937665,1788548851,203.0.113.59,104.28.16.5,59892,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_11261301,gather_deposit_71315464,0.08575,0.08318
tx_benign_transfer_0612_9042,1788760507,192.0.2.206,104.28.16.5,44167,8333,8e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_91002225,merchant_wallet_27620998,2.38654,2.3865
tx_coinjoin_mixer_2_2312,1788437393,194.26.218.48,104.28.16.5,42245,8333,0.0005,p2sh,SC,AS51852 - Private Layer,mix_in_89864260;mix_in_19121552;mix_in_41568532;mix_in_64193837;mix_in_26090908,clean_out_98231132;clean_out_88339168;clean_out_85863473;clean_out_80166708;clean_out_52462441,0.10285;0.10192;0.10195;0.1006;0.1007,0.1;0.1;0.1;0.1;0.1
tx_benign_transfer_0676_6947,1788781926,104.28.10.72,104.28.16.5,46149,8333,9e-05,p2sh,US,AS13335 - Cloudflare,benign_user_91339562,merchant_wallet_38063091,1.79735,1.7973
tx_benign_transfer_0155_1878,1788619922,104.28.222.92,104.28.16.5,30314,8333,6e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_61532114,merchant_wallet_85374270,0.7292,0.72916
tx_benign_transfer_0736_2103,1788800770,194.26.227.56,104.28.16.5,43470,8333,5e-05,p2sh,SC,AS51852 - Private Layer,benign_user_77051958,merchant_wallet_23665188,0.70336,0.70329
tx_benign_transfer_0362_1172,1788682891,192.0.2.1,104.28.16.5,47148,8333,9e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_56155452,merchant_wallet_48488577,0.9208,0.92075
tx_benign_transfer_0883_8381,1788845954,194.26.242.214,104.28.16.5,58090,8333,4e-05,p2pkh,SC,AS51852 - Private Layer,benign_user_95753906,merchant_wallet_87628449,1.68812,1.68807
tx_benign_transfer_0587_5929,1788753681,203.0.113.24,104.28.16.5,56958,8333,8e-05,p2pkh,IR,AS58224 - TIC,benign_user_38237596,merchant_wallet_31505334,0.98851,0.98841
tx_benign_transfer_0796_3687,1788819997,104.28.108.211,104.28.16.5,35029,8333,5e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_60860721,merchant_wallet_13477562,0.93663,0.93655
tx_benign_transfer_0312_9423,1788668181,194.26.36.115,104.28.16.5,35217,8333,4e-05,p2sh,SC,AS51852 - Private Layer,benign_user_98504955,merchant_wallet_29622504,2.12147,2.12138
tx_benign_transfer_0770_7283,1788811321,192.0.2.197,104.28.16.5,39186,8333,5e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_99379971,merchant_wallet_73928214,1.79226,1.79222
tx_benign_transfer_0027_7299,1788579992,198.51.100.119,104.28.16.5,49016,8333,7e-05,p2sh,RU,AS12389 - Rostelecom,benign_user_15505975,merchant_wallet_70362235,2.13968,2.13961
tx_benign_transfer_0748_6011,1788804808,104.28.117.73,104.28.16.5,42292,8333,7e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_19655576,merchant_wallet_54725929,1.81935,1.8193
tx_benign_transfer_0885_1265,1788846776,185.220.78.230,104.28.16.5,40058,8333,7e-05,p2wpkh,DE,AS205100 - Tor Exit Node,benign_user_76992183,merchant_wallet_97095450,1.44632,1.44629
tx_benign_transfer_0122_9673,1788608040,104.28.185.71,104.28.16.5,47555,8333,0.0001,p2wpkh,US,AS13335 - Cloudflare,benign_user_77406294,merchant_wallet_67790557,1.33521,1.33515
tx_benign_transfer_0639_6927,1788769189,192.0.2.242,104.28.16.5,30975,8333,6e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_79437366,merchant_wallet_19339029,1.02918,1.02912
tx_benign_transfer_0235_5087,1788644361,104.28.9.117,104.28.16.5,31656,8333,9e-05,p2sh,US,AS13335 - Cloudflare,benign_user_36724061,merchant_wallet_46772637,2.1892,2.18916
tx_benign_transfer_0637_8760,1788768390,192.0.2.88,104.28.16.5,39396,8333,7e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_45704013,merchant_wallet_59987561,1.04522,1.04514
tx_benign_transfer_0356_9535,1788681124,192.0.2.248,104.28.16.5,44755,8333,6e-05,p2wpkh,NL,AS49981 - WorldStream,benign_user_13100576,merchant_wallet_26782572,0.68541,0.68535
tx_benign_transfer_0378_7014,1788688966,192.0.2.117,104.28.16.5,30023,8333,8e-05,p2sh,NL,AS49981 - WorldStream,benign_user_60874366,merchant_wallet_34901990,1.12897,1.12888
tx_benign_transfer_0396_2352,1788692951,192.0.2.122,104.28.16.5,48724,8333,8e-05,p2sh,NL,AS49981 - WorldStream,benign_user_63578549,merchant_wallet_45239935,1.96806,1.96802
tx_benign_transfer_0552_9664,1788741440,192.0.2.56,104.28.16.5,53455,8333,4e-05,p2pkh,NL,AS49981 - WorldStream,benign_user_33055043,merchant_wallet_82091897,0.18016,0.18007
tx_gather_0_953797,1788495213,203.0.113.126,104.28.16.5,42989,8333,0.0001,p2wpkh,IR,AS58224 - TIC,layer_82475098,gather_deposit_88802305,0.16714,0.16213
tx_benign_transfer_0679_5143,1788782745,198.51.100.175,104.28.16.5,48353,8333,9e-05,p2wpkh,RU,AS12389 - Rostelecom,benign_user_67326334,merchant_wallet_96029038,0.06756,0.06746
tx_benign_transfer_0701_5819,1788788266,203.0.113.203,104.28.16.5,34868,8333,5e-05,p2wpkh,IR,AS58224 - TIC,benign_user_94484575,merchant_wallet_47590802,1.91008,1.91001
tx_benign_transfer_0048_1726,1788585153,104.28.91.140,104.28.16.5,41093,8333,9e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_72360629,merchant_wallet_74227366,1.45894,1.45886
tx_benign_transfer_0086_4505,1788597684,104.28.52.212,104.28.16.5,47648,8333,5e-05,p2sh,US,AS13335 - Cloudflare,benign_user_46456416,merchant_wallet_28424464,1.11152,1.11147
tx_benign_transfer_0377_5510,1788688402,192.0.2.223,104.28.16.5,57241,8333,7e-05,p2sh,NL,AS49981 - WorldStream,benign_user_31520928,merchant_wallet_19244458,1.36362,1.36357
tx_benign_transfer_0772_8159,1788812278,104.28.207.60,104.28.16.5,37325,8333,5e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_21768256,merchant_wallet_24949509,0.86463,0.86454
tx_benign_transfer_0485_4578,1788720556,104.28.158.165,104.28.16.5,33481,8333,9e-05,p2sh,US,AS13335 - Cloudflare,benign_user_44761889,merchant_wallet_23862962,1.23522,1.23518
tx_benign_transfer_0718_5650,1788795122,104.28.53.60,104.28.16.5,39538,8333,8e-05,p2wpkh,US,AS13335 - Cloudflare,benign_user_71023927,merchant_wallet_17711235,0.50551,0.50542
tx_benign_transfer_0364_8161,1788683973,194.26.102.64,104.28.16.5,35350,8333,8e-05,p2sh,SC,AS51852 - Private Layer,benign_user_62307771,merchant_wallet_60782359,1.37505,1.37501
tx_benign_transfer_0655_6074,1788775236,104.28.145.116,104.28.16.5,59500,8333,5e-05,p2pkh,US,AS13335 - Cloudflare,benign_user_73783961,merchant_wallet_91296981,2.17736,2.1773
