txid,injected_pattern,detail
tx_gather_0_668950,scatter_gather,converges into gather event 0 (source tx tx_scatter_0_4750)
tx_gather_0_296694,scatter_gather,converges into gather event 0 (source tx tx_scatter_0_4750)
tx_scatter_1_1224,scatter_gather,fan-out to 15 addresses
tx_gather_1_218972,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_972565,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_839677,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_355570,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_299869,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_243139,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_928381,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_632401,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_861319,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_791998,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_664742,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_899929,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_297816,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_501574,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_gather_1_433632,scatter_gather,converges into gather event 1 (source tx tx_scatter_1_1224)
tx_scatter_2_3529,scatter_gather,fan-out to 15 addresses
tx_gather_2_753534,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_184216,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_659543,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_853629,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_137642,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_761820,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_883041,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_897305,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_274446,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_148225,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_475876,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_356059,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_814919,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_283573,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_gather_2_749813,scatter_gather,converges into gather event 2 (source tx tx_scatter_2_3529)
tx_scatter_3_7951,scatter_gather,fan-out to 15 addresses
tx_gather_3_416797,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_211834,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_476395,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_409571,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_108491,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_881369,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_937665,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_469435,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_362801,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_201883,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_926918,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_482584,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_409445,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_310548,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_gather_3_656639,scatter_gather,converges into gather event 3 (source tx tx_scatter_3_7951)
tx_scatter_4_3024,scatter_gather,fan-out to 15 addresses
tx_gather_4_499534,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_807617,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_749641,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_739717,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_963874,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_528129,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_139019,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_201913,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_507524,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_879238,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_715870,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_786735,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_527940,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_823811,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
tx_gather_4_566297,scatter_gather,converges into gather event 4 (source tx tx_scatter_4_3024)
