ip_from,ip_to,country_code,asn_name
28449792,28450047,TH,UNKNOWN
28450048,28450303,MX,UNKNOWN
28450304,28450559,US,UNKNOWN
28450560,28450815,TW,UNKNOWN
28450816,28454911,BR,UNKNOWN
28454912,28459007,AR,UNKNOWN
28459008,28459263,JP,UNKNOWN
28459264,28459519,US,UNKNOWN
28459520,28460031,AU,UNKNOWN
28460032,28463103,US,UNKNOWN
28463104,28463359,AU,UNKNOWN
28463360,28463615,US,UNKNOWN
28463616,28464639,AU,UNKNOWN
28464640,28464895,ID,UNKNOWN
28464896,28465151,US,UNKNOWN
28465152,28465407,IN,UNKNOWN
28465408,28465663,SG,UNKNOWN
28465664,28465919,FR,UNKNOWN
28465920,28466175,KR,UNKNOWN
28466176,28466431,CA,UNKNOWN
28466432,28466687,SE,UNKNOWN
28466688,28466943,GB,UNKNOWN
28466944,28467199,BR,UNKNOWN
28467200,28468223,AU,UNKNOWN
28468224,28468479,US,UNKNOWN
28468480,28468735,JP,UNKNOWN
28468736,28468991,MY,UNKNOWN
28468992,28469247,HK,UNKNOWN
28469248,28471295,US,UNKNOWN
28471296,28479487,PS,UNKNOWN
28479488,28485631,US,UNKNOWN
28485632,28485887,DE,UNKNOWN
28485888,28486655,US,UNKNOWN
28486656,28487167,JP,UNKNOWN
28487168,28487423,SE,UNKNOWN
28487424,28488703,AU,UNKNOWN
28488704,28491775,US,UNKNOWN
28491776,28492287,GB,UNKNOWN
28492288,28493311,US,UNKNOWN
28493312,28493823,GB,UNKNOWN
28493824,28494335,US,UNKNOWN
28494336,28494847,GB,UNKNOWN
28494848,28495103,JP,UNKNOWN
28495104,28495359,US,UNKNOWN
28495360,28495615,AU,UNKNOWN
28495616,28495871,GB,UNKNOWN
28495872,28499967,PS,UNKNOWN
28499968,28508159,ES,UNKNOWN
28508160,28508671,AU,UNKNOWN
28508672,28509183,US,UNKNOWN
28509184,28511743,AU,UNKNOWN
28511744,28512255,US,UNKNOWN
28512256,28514303,AU,UNKNOWN
28514304,28518399,US,UNKNOWN
28518400,28520447,PS,UNKNOWN
28520448,28521471,AU,UNKNOWN
28521472,28523519,US,UNKNOWN
28523520,28524031,CA,UNKNOWN
28524032,28524543,AU,UNKNOWN
28524544,28526591,US,UNKNOWN
28526592,28528639,PS,UNKNOWN
28528640,28530687,US,UNKNOWN
28530688,28532735,PS,UNKNOWN
28532736,28533759,AU,UNKNOWN
28533760,28534015,US,UNKNOWN
28534016,28534271,SA,UNKNOWN
28534272,28534527,CL,UNKNOWN
28534528,28536831,US,UNKNOWN
28536832,28540927,FR,UNKNOWN
28540928,28573695,TH,UNKNOWN
28573696,28966911,CN,UNKNOWN
28966912,29032447,GB,UNKNOWN
29032448,29097983,IN,UNKNOWN
29097984,29884415,CN,UNKNOWN
29884416,29949951,TW,UNKNOWN
29949952,30015487,KR,UNKNOWN
30015488,30408703,CN,UNKNOWN
30408704,33554431,KR,UNKNOWN
33554432,33751039,US,UNKNOWN
33751040,34603007,FR,UNKNOWN
34603008,34603263,BR,UNKNOWN
34603264,34603519,DE,UNKNOWN
34603520,34603775,CZ,UNKNOWN
34603776,34604031,DE,UNKNOWN
34604032,34604543,IT,UNKNOWN
34604544,34605055,NL,UNKNOWN
34605056,34605311,ES,UNKNOWN
34605312,34605567,GB,UNKNOWN
34605568,34605823,DE,UNKNOWN
34605824,34606079,FR,UNKNOWN
34606080,34606591,CH,UNKNOWN
34606592,34606847,ZA,UNKNOWN
34606848,34607103,AR,UNKNOWN
34607104,34607359,AT,UNKNOWN
34607360,34607615,IT,UNKNOWN
34607616,34607871,NL,UNKNOWN
34607872,34608127,GR,UNKNOWN
34608128,34608639,RU,UNKNOWN
34608640,34608895,IT,UNKNOWN
34608896,34609151,SE,UNKNOWN
34609152,34609663,IT,UNKNOWN
34609664,34609919,DE,UNKNOWN
34609920,34610175,NL,UNKNOWN
34610176,34611711,DE,UNKNOWN
34611712,34611967,ZA,UNKNOWN
34611968,34612479,DE,UNKNOWN
34612480,34612735,GB,UNKNOWN
34612736,34613247,ES,UNKNOWN
34613248,34613503,GB,UNKNOWN
34613504,34613759,DE,UNKNOWN
34613760,34614271,NL,UNKNOWN
34614272,34614527,AE,UNKNOWN
34614528,34614783,US,UNKNOWN
34614784,34615295,DE,UNKNOWN
34615296,34615551,FR,UNKNOWN
34615552,34615807,IE,UNKNOWN
34615808,34616319,IT,UNKNOWN
34616320,34616575,DE,UNKNOWN
34616576,34616831,RU,UNKNOWN
34616832,34617087,ES,UNKNOWN
34617088,34617343,GB,UNKNOWN
34617344,34617599,SE,UNKNOWN
34617600,34617855,PT,UNKNOWN
34617856,34618367,GB,UNKNOWN
34618368,34618879,FR,UNKNOWN
34618880,34619135,DE,UNKNOWN
34619136,34619391,DK,UNKNOWN
34619392,34619647,ES,UNKNOWN
34619648,34619903,PT,UNKNOWN
34619904,34620415,BR,UNKNOWN
34620416,34620927,SE,UNKNOWN
34620928,34621439,IT,UNKNOWN
34621440,34621951,DE,UNKNOWN
34621952,34622463,NL,UNKNOWN
34622464,34622719,US,UNKNOWN
34622720,34622975,GH,UNKNOWN
34622976,34623487,DE,UNKNOWN
34623488,34623999,JP,UNKNOWN
34624000,34624511,FR,UNKNOWN
34624512,34624767,DE,UNKNOWN
34624768,34625023,NL,UNKNOWN
34625024,34625279,HK,UNKNOWN
34625280,34625535,IT,UNKNOWN
34625536,34625791,ES,UNKNOWN
34625792,34626047,US,UNKNOWN
34626048,34626303,AU,UNKNOWN
34626304,34626559,DE,UNKNOWN
34626560,34626815,HK,UNKNOWN
34626816,34627071,IT,UNKNOWN
34627072,34627583,IE,UNKNOWN
34627584,34628607,US,UNKNOWN
34628608,34629119,DE,UNKNOWN
34629120,34629375,NL,UNKNOWN
34629376,34629631,RU,UNKNOWN
34629632,34630143,DE,UNKNOWN
34630144,34630655,NL,UNKNOWN
34630656,34630911,BR,UNKNOWN
34630912,34631167,ZA,UNKNOWN
34631168,34631679,DE,UNKNOWN
34631680,34632191,FR,UNKNOWN
34632192,34632959,US,UNKNOWN
34632960,34633215,DE,UNKNOWN
34633216,34633471,BR,UNKNOWN
34633472,34633727,DE,UNKNOWN
34633728,34633983,BR,UNKNOWN
34633984,34634367,DE,UNKNOWN
34634368,34634751,NL,UNKNOWN
34634752,34635263,FR,UNKNOWN
34635264,34635775,GB,UNKNOWN
34635776,34636031,ID,UNKNOWN
34636032,34636287,DE,UNKNOWN
34636288,34636543,AT,UNKNOWN
34636544,34636799,FR,UNKNOWN
34636800,34637311,DE,UNKNOWN
34637312,34637567,CM,UNKNOWN
34637568,34637823,ZA,UNKNOWN
34637824,34638079,FR,UNKNOWN
34638080,34638335,DE,UNKNOWN
34638336,34638847,ES,UNKNOWN
34638848,34639103,BR,UNKNOWN
34639104,34639359,DE,UNKNOWN
34639360,34639615,NL,UNKNOWN
34639616,34639871,FR,UNKNOWN
34639872,34640895,GB,UNKNOWN
34640896,34641919,DE,UNKNOWN
34641920,34642175,MX,UNKNOWN
34642176,34642431,GB,UNKNOWN
34642432,34642687,RU,UNKNOWN
34642688,34642943,SE,UNKNOWN
34642944,34643455,PL,UNKNOWN
34643456,34643711,AE,UNKNOWN
34643712,34643967,ES,UNKNOWN
34643968,34644479,FR,UNKNOWN
34644480,34644735,ZA,UNKNOWN
34644736,34644991,GB,UNKNOWN
34644992,34645247,DE,UNKNOWN
34645248,34645503,FR,UNKNOWN
34645504,34645759,BR,UNKNOWN
34645760,34646015,CA,UNKNOWN
34646016,34646271,DE,UNKNOWN
34646272,34646527,BR,UNKNOWN
34646528,34646783,CA,UNKNOWN
34646784,34647039,FI,UNKNOWN
34647040,34647295,PL,UNKNOWN
34647296,34647551,GB,UNKNOWN
34647552,34648063,SE,UNKNOWN
34648064,34649087,GB,UNKNOWN
34649088,34649343,IN,UNKNOWN
34649344,34649599,IT,UNKNOWN
34649600,34650623,DE,UNKNOWN
34650624,34651135,BR,UNKNOWN
34651136,34652159,GR,UNKNOWN
34652160,34653183,FR,UNKNOWN
34653184,34653695,BR,UNKNOWN
34653696,34653951,GB,UNKNOWN
34653952,34654207,ZA,UNKNOWN
34654208,34654719,BR,UNKNOWN
34654720,34654975,DE,UNKNOWN
34654976,34655231,GB,UNKNOWN
34655232,34656255,DE,UNKNOWN
34656256,34657279,GB,UNKNOWN
34657280,34658303,DE,UNKNOWN
34658304,34659327,US,UNKNOWN
34659328,34660351,GR,UNKNOWN
34660352,34661375,US,UNKNOWN
34661376,34662399,CA,UNKNOWN
34662400,34663423,US,UNKNOWN
34663424,34664959,DE,UNKNOWN
34664960,34665215,FR,UNKNOWN
34665216,34665471,GB,UNKNOWN
34665472,34665727,HK,UNKNOWN
34665728,34665983,FR,UNKNOWN
34665984,34666495,GB,UNKNOWN
34666496,34666879,DE,UNKNOWN
34666880,34667007,CH,UNKNOWN
34667008,34667519,DE,UNKNOWN
34667520,34668543,MX,UNKNOWN
34668544,34670591,DE,UNKNOWN
34670592,34671615,CH,UNKNOWN
34671616,34672383,ES,UNKNOWN
34672384,34672639,FR,UNKNOWN
34672640,34673663,JP,UNKNOWN
34673664,34674687,DE,UNKNOWN
34674688,34675711,JO,UNKNOWN
34675712,34676735,CA,UNKNOWN
34676736,34677247,ES,UNKNOWN
34677248,34677503,DE,UNKNOWN
34677504,34677759,ES,UNKNOWN
34677760,34678015,FR,UNKNOWN
34678016,34678527,ES,UNKNOWN
34678528,34678783,FR,UNKNOWN
34678784,34679039,GB,UNKNOWN
34679040,34679551,BR,UNKNOWN
34679552,34680063,DE,UNKNOWN
34680064,34680319,BR,UNKNOWN
34680320,34680575,DE,UNKNOWN
34680576,34680831,BR,UNKNOWN
34680832,34682879,TH,UNKNOWN
34682880,34684927,JP,UNKNOWN
34684928,34689023,GB,UNKNOWN
34689024,34693119,US,UNKNOWN
34693120,34694143,AT,UNKNOWN
34694144,34694399,DE,UNKNOWN
34694400,34694911,US,UNKNOWN
34694912,34695167,IT,UNKNOWN
34695168,34695679,SE,UNKNOWN
34695680,34695935,SG,UNKNOWN
34695936,34696191,BE,UNKNOWN
34696192,34696319,FR,UNKNOWN
34696320,34696575,PL,UNKNOWN
34696576,34696959,GB,UNKNOWN
34696960,34697215,US,UNKNOWN
34697216,34697471,ES,UNKNOWN
34697472,34697727,GB,UNKNOWN
34697728,34697983,US,UNKNOWN
34697984,34698239,GB,UNKNOWN
34698240,34699263,RO,UNKNOWN
34699264,34700287,GB,UNKNOWN
34700288,34701311,IT,UNKNOWN
34701312,34702335,BR,UNKNOWN
34702336,34704383,TR,UNKNOWN
34704384,34705407,PL,UNKNOWN
34705408,34706175,RU,UNKNOWN
34706176,34706431,CZ,UNKNOWN
34706432,34707455,DE,UNKNOWN
34707456,34708479,ES,UNKNOWN
34708480,34709503,CA,UNKNOWN
34709504,34709759,NL,UNKNOWN
34709760,34710015,KE,UNKNOWN
34710016,34710527,BR,UNKNOWN
34710528,34711039,ZA,UNKNOWN
34711040,34711551,BR,UNKNOWN
34711552,34712575,KE,UNKNOWN
34712576,34713599,IE,UNKNOWN
34713600,34717695,DE,UNKNOWN
34717696,34717951,US,UNKNOWN
34717952,34718207,AR,UNKNOWN
34718208,34718463,ID,UNKNOWN
34718464,34718719,US,UNKNOWN
34718720,34719743,BE,UNKNOWN
34719744,34720255,DE,UNKNOWN
34720256,34720511,US,UNKNOWN
34720512,34720767,GB,UNKNOWN
34720768,34721791,CA,UNKNOWN
34721792,34722047,DE,UNKNOWN
34722048,34722303,US,UNKNOWN
34722304,34722559,SE,UNKNOWN
34722560,34722815,ES,UNKNOWN
34722816,34723839,GB,UNKNOWN
34723840,34724095,US,UNKNOWN
34724096,34724351,DE,UNKNOWN
34724352,34724863,TR,UNKNOWN
34724864,34725887,NZ,UNKNOWN
34725888,34728959,TR,UNKNOWN
34728960,34729983,DE,UNKNOWN
34729984,34731007,PL,UNKNOWN
34731008,34731903,DE,UNKNOWN
34731904,34732031,FR,UNKNOWN
34732032,34732287,UG,UNKNOWN
34732288,34732543,AM,UNKNOWN
34732544,34732799,TZ,UNKNOWN
34732800,34733055,SE,UNKNOWN
34733056,34734591,DE,UNKNOWN
34734592,34734847,IT,UNKNOWN
34734848,34735103,FR,UNKNOWN
34735104,34736383,DE,UNKNOWN
34736384,34736639,DK,UNKNOWN
34736640,34736895,NL,UNKNOWN
34736896,34737151,BI,UNKNOWN
34737152,34738175,NG,UNKNOWN
34738176,34738687,TW,UNKNOWN
34738688,34739199,FR,UNKNOWN
34739200,34739455,BR,UNKNOWN
34739456,34739711,CL,UNKNOWN
34739712,34740223,DE,UNKNOWN
34740224,34740479,SG,UNKNOWN
34740480,34740735,DE,UNKNOWN
34740736,34741247,GB,UNKNOWN
34741248,34741503,DE,UNKNOWN
34741504,34741759,AR,UNKNOWN
34741760,34742015,GB,UNKNOWN
34742016,34742271,US,UNKNOWN
34742272,34743167,DE,UNKNOWN
34743168,34743295,FR,UNKNOWN
34743296,34744063,DE,UNKNOWN
34744064,34744319,CH,UNKNOWN
34744320,34744575,US,UNKNOWN
34744576,34744831,AT,UNKNOWN
34744832,34745087,FR,UNKNOWN
34745088,34746367,KR,UNKNOWN
34746368,34746879,US,UNKNOWN
34746880,34747391,JP,UNKNOWN
34747392,34747903,AU,UNKNOWN
34747904,34748415,BR,UNKNOWN
34748416,34749439,AR,UNKNOWN
34749440,34749695,DE,UNKNOWN
34749696,34749951,CH,UNKNOWN
34749952,34750463,GB,UNKNOWN
34750464,34750719,DE,UNKNOWN
34750720,34750975,NL,UNKNOWN
34750976,34751231,DE,UNKNOWN
34751232,34751487,US,UNKNOWN
34751488,34752511,AT,UNKNOWN
34752512,34753535,US,UNKNOWN
34753536,34753791,DE,UNKNOWN
34753792,34754559,AT,UNKNOWN
34754560,34755583,GR,UNKNOWN
34755584,34756607,CA,UNKNOWN
34756608,34757119,SG,UNKNOWN
34757120,34757631,CA,UNKNOWN
34757632,34757887,GR,UNKNOWN
34757888,34758143,HK,UNKNOWN
34758144,34758399,GR,UNKNOWN
34758400,34758655,NL,UNKNOWN
34758656,34759679,AE,UNKNOWN
34759680,34760703,US,UNKNOWN
34760704,34761727,PL,UNKNOWN
34761728,34762751,AU,UNKNOWN
34762752,34763903,BR,UNKNOWN
34763904,34764287,US,UNKNOWN
34764288,34765311,NL,UNKNOWN
34765312,34765567,PL,UNKNOWN
34765568,34765695,NL,UNKNOWN
34765696,34766079,DE,UNKNOWN
34766080,34766335,NL,UNKNOWN
34766336,34766847,BR,UNKNOWN
34766848,34770943,FR,UNKNOWN
34770944,34775039,JP,UNKNOWN
34775040,34776063,OM,UNKNOWN
34776064,34776319,JP,UNKNOWN
34776320,34776575,GB,UNKNOWN
34776576,34776831,DE,UNKNOWN
34776832,34777087,GB,UNKNOWN
34777088,34778111,CH,UNKNOWN
34778112,34779135,NO,UNKNOWN
34779136,34779391,FR,UNKNOWN
34779392,34779647,US,UNKNOWN
34779648,34780159,ES,UNKNOWN
34780160,34780671,GB,UNKNOWN
34780672,34780927,ZA,UNKNOWN
34780928,34781183,ES,UNKNOWN
34781184,34782207,DE,UNKNOWN
34782208,34782463,ES,UNKNOWN
34782464,34782719,NL,UNKNOWN
34782720,34782975,GB,UNKNOWN
34782976,34783231,CA,UNKNOWN
34783232,34783999,DE,UNKNOWN
34784000,34784255,FR,UNKNOWN
34784256,34784383,CH,UNKNOWN
34784384,34784639,DE,UNKNOWN
34784640,34785279,IT,UNKNOWN
34785280,34786303,US,UNKNOWN
34786304,34786559,DE,UNKNOWN
34786560,34786815,NL,UNKNOWN
34786816,34787327,IT,UNKNOWN
34787328,34788351,ES,UNKNOWN
34788352,34789375,FR,UNKNOWN
34789376,34790399,IT,UNKNOWN
34790400,34791423,FR,UNKNOWN
34791424,34792447,AU,UNKNOWN
34792448,34792959,DE,UNKNOWN
34792960,34793087,CH,UNKNOWN
34793088,34793471,DE,UNKNOWN
34793472,34794495,JP,UNKNOWN
34794496,34795519,IE,UNKNOWN
34795520,34795775,IT,UNKNOWN
34795776,34796031,CH,UNKNOWN
34796032,34797311,NL,UNKNOWN
34797312,34797567,AR,UNKNOWN
34797568,34797823,BR,UNKNOWN
34797824,34798079,FR,UNKNOWN
34798080,34798335,LU,UNKNOWN
34798336,34798591,FR,UNKNOWN
34798592,34798847,US,UNKNOWN
34798848,34799103,DE,UNKNOWN
34799104,34799615,IT,UNKNOWN
34799616,34800639,GB,UNKNOWN
34800640,34801023,PL,UNKNOWN
34801024,34801151,GB,UNKNOWN
34801152,34801663,FR,UNKNOWN
34801664,34802431,BR,UNKNOWN
34802432,34802687,DE,UNKNOWN
34802688,34803711,GB,UNKNOWN
34803712,34807807,ES,UNKNOWN
34807808,34810495,US,UNKNOWN
34810496,34810623,FR,UNKNOWN
34810624,34810879,US,UNKNOWN
34810880,34811903,AR,UNKNOWN
34811904,34812159,NL,UNKNOWN
34812160,34812415,MX,UNKNOWN
34812416,34812671,DE,UNKNOWN
34812672,34812927,GR,UNKNOWN
34812928,34813439,MX,UNKNOWN
34813440,34813695,PT,UNKNOWN
34813696,34813951,ZA,UNKNOWN
34813952,34814079,FR,UNKNOWN
34814080,34814463,DE,UNKNOWN
34814464,34814591,FR,UNKNOWN
34814592,34814975,DE,UNKNOWN
34814976,34815999,IE,UNKNOWN
34816000,34820095,CH,UNKNOWN
34820096,34820351,DE,UNKNOWN
34820352,34820607,FR,UNKNOWN
34820608,34820863,DE,UNKNOWN
34820864,34821119,BR,UNKNOWN
34821120,34822143,DE,UNKNOWN
34822144,34823167,CA,UNKNOWN
34823168,34824191,GB,UNKNOWN
34824192,34824959,DE,UNKNOWN
34824960,34825215,ES,UNKNOWN
34825216,34826239,DE,UNKNOWN
34826240,34826367,IT,UNKNOWN
34826368,34827263,DE,UNKNOWN
34827264,34827391,CH,UNKNOWN
34827392,34827775,DE,UNKNOWN
34827776,34827903,CH,UNKNOWN
34827904,34828287,DE,UNKNOWN
34828288,34829311,TH,UNKNOWN
34829312,34829823,GB,UNKNOWN
34829824,34831359,DE,UNKNOWN
34831360,34831615,IT,UNKNOWN
34831616,34832383,DE,UNKNOWN
34832384,34840575,US,UNKNOWN
34840576,34841087,GB,UNKNOWN
34841088,34841599,CO,UNKNOWN
34841600,34842623,GB,UNKNOWN
34842624,34843647,IN,UNKNOWN
34843648,34843903,CO,UNKNOWN
34843904,34844159,DK,UNKNOWN
34844160,34844415,US,UNKNOWN
34844416,34844671,DE,UNKNOWN
34844672,34845183,IE,UNKNOWN
34845184,34845439,AR,UNKNOWN
34845440,34845695,IT,UNKNOWN
34845696,34845951,DE,UNKNOWN
34845952,34846207,RU,UNKNOWN
34846208,34846463,DE,UNKNOWN
34846464,34846719,SE,UNKNOWN
34846720,34846975,DE,UNKNOWN
34846976,34847231,SE,UNKNOWN
34847232,34847743,GB,UNKNOWN
34847744,34848767,UA,UNKNOWN
34848768,34849023,ES,UNKNOWN
34849024,34849279,TR,UNKNOWN
34849280,34849791,NL,UNKNOWN
34849792,34850047,TR,UNKNOWN
34850048,34850303,AT,UNKNOWN
34850304,34850559,DE,UNKNOWN
34850560,34850815,BR,UNKNOWN
34850816,34851327,CA,UNKNOWN
34851328,34851455,US,UNKNOWN
34851456,34851839,CA,UNKNOWN
34851840,34852863,RU,UNKNOWN
34852864,34853375,FR,UNKNOWN
34853376,34853887,CO,UNKNOWN
34853888,34854143,IN,UNKNOWN
34854144,34854399,DE,UNKNOWN
34854400,34854911,BR,UNKNOWN
34854912,34855935,CZ,UNKNOWN
34855936,34856959,ES,UNKNOWN
34856960,34857983,PH,UNKNOWN
34857984,34858111,IT,UNKNOWN
34858112,34859263,DE,UNKNOWN
34859264,34859519,FR,UNKNOWN
34859520,34860031,DE,UNKNOWN
34860032,34860159,CH,UNKNOWN
34860160,34860543,DE,UNKNOWN
34860544,34860671,IT,UNKNOWN
34860672,34861311,DE,UNKNOWN
34861312,34861567,CO,UNKNOWN
34861568,34861823,GB,UNKNOWN
34861824,34862079,SG,UNKNOWN
34862080,34863103,US,UNKNOWN
34863104,34863615,GB,UNKNOWN
34863616,34863871,BR,UNKNOWN
34863872,34864127,ZA,UNKNOWN
34864128,34864639,GB,UNKNOWN
34864640,34864895,FR,UNKNOWN
34864896,34865151,NL,UNKNOWN
34865152,34866175,IN,UNKNOWN
34866176,34867199,DE,UNKNOWN
34867200,34868223,CH,UNKNOWN
34868224,34868479,GB,UNKNOWN
34868480,34868735,ZA,UNKNOWN
34868736,34869247,IN,UNKNOWN
34869248,34870271,CH,UNKNOWN
34870272,34871295,BR,UNKNOWN
34871296,34872319,TR,UNKNOWN
34872320,34873343,CA,UNKNOWN
34873344,34874367,FR,UNKNOWN
34874368,34875391,CA,UNKNOWN
34875392,34876415,HK,UNKNOWN
34876416,34876671,DE,UNKNOWN
34876672,34876927,BG,UNKNOWN
34876928,34877183,AR,UNKNOWN
34877184,34877439,CO,UNKNOWN
34877440,34877695,NL,UNKNOWN
34877696,34877951,GB,UNKNOWN
34877952,34878207,ES,UNKNOWN
34878208,34878463,SE,UNKNOWN
34878464,34879487,CL,UNKNOWN
34879488,34880511,ZA,UNKNOWN
34880512,34881535,DE,UNKNOWN
34881536,34881919,US,UNKNOWN
34881920,34882047,CA,UNKNOWN
34882048,34882815,US,UNKNOWN
34882816,34883071,BE,UNKNOWN
34883072,34883327,DE,UNKNOWN
34883328,34883583,ES,UNKNOWN
34883584,34884095,DE,UNKNOWN
34884096,34884223,CH,UNKNOWN
34884224,34885631,DE,UNKNOWN
34885632,34885759,IT,UNKNOWN
34885760,34886527,DE,UNKNOWN
34886528,34886655,CH,UNKNOWN
34886656,34887807,DE,UNKNOWN
34887808,34887935,CH,UNKNOWN
34887936,34888191,DE,UNKNOWN
34888192,34888319,IT,UNKNOWN
34888320,34888703,DE,UNKNOWN
34888704,34889727,FR,UNKNOWN
34889728,34889983,DE,UNKNOWN
34889984,34890111,CH,UNKNOWN
34890112,34890751,DE,UNKNOWN
34890752,34891007,CH,UNKNOWN
34891008,34891135,IT,UNKNOWN
34891136,34891775,DE,UNKNOWN
34891776,34893055,ES,UNKNOWN
34893056,34893567,IT,UNKNOWN
34893568,34893823,CO,UNKNOWN
34893824,34894847,IT,UNKNOWN
34894848,34895103,CA,UNKNOWN
34895104,34895871,FR,UNKNOWN
34895872,34896511,GB,UNKNOWN
34896512,34896639,US,UNKNOWN
34896640,34896895,GB,UNKNOWN
34896896,34899199,BR,UNKNOWN
34899200,34899455,FR,UNKNOWN
34899456,34899967,TR,UNKNOWN
34899968,34900479,FR,UNKNOWN
34900480,34900735,NL,UNKNOWN
34900736,34900991,BR,UNKNOWN
34900992,34901503,AR,UNKNOWN
34901504,34903039,DE,UNKNOWN
34903040,34904063,BR,UNKNOWN
34904064,34905087,US,UNKNOWN
34905088,34906111,IN,UNKNOWN
34906112,34908159,NO,UNKNOWN
34908160,34909183,FR,UNKNOWN
34909184,34910207,NO,UNKNOWN
34910208,34910719,NL,UNKNOWN
34910720,34910975,US,UNKNOWN
34910976,34911487,DE,UNKNOWN
34911488,34911743,TR,UNKNOWN
34911744,34911999,BR,UNKNOWN
